Annotatore	ID	ChatGPT_simplification_P2	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)	
A1	1	La lattiera ha un corpo rotondo, un piede circolare e un manico a forma di 'C'. Ha un beccuccio sporgente. Il fondo è bianco con un grappolo d'uva decorato e il bordo è rifinito in verde.	y	n	n	n	n	n	n	na
A1	2	Questo netsuke mostra un granchio con un kappa sopra di esso. La zampa anteriore sinistra del kappa è trattenuta dalla chela destra del granchio. I due fori dell'himotoshi sono sul lato inferiore.	y	n	y	n	n	n	n	na
A1	3	L'apostolo è rappresentato con una tunica legata in vita e un mantello chiuso con una fibbia sulla spalla destra. Ha una folta barba e lunghi capelli. In mano tiene un libro.	y	n	n	n	n	n	n	na
A1	4	Il profeta è rappresentato con una tunica ampia, capelli lunghi e un copricapo. Con la mano destra tiene un cartiglio sul petto e con la sinistra regge un lembo della tunica.	y	n	n	n	n	n	n	na
A1	5	L'arcangelo è raffigurato con gigli nella mano destra e la mano sinistra sollevata. Il suo abito è gonfiato dal vento.	y	n	y	n	n	n	n	na
A1	6	David è raffigurato seduto con un'arpa in mano e una corona sul capo.	y	n	y	n	n	n	n	na
A1	7	San Giorgio, riccamente vestito, trafigge il drago con una lancia.	y	n	y	n	n	n	n	na
A1	8	San Francesco d'Assisi è raffigurato con la mano destra sul petto e lo sguardo rivolto verso l'alto.	n	na	y	n	n	n	n	na
A1	9	Il santo è rappresentato con un libro aperto.	n	na	y	n	y	n	n	na
A1	10	Il santo è dipinto mentre scrive, indossando abiti vescovili. Potrebbe essere Sant'Agostino o San Giacomo apostolo.	y	n	n	n	n	n	n	na
A1	11	Il santo tiene un libro nella mano sinistra e un'alabarda nella mano destra.	y	n	y	n	n	n	n	na
A1	12	Il santo è raffigurato mentre scrive e guarda verso l'alto.	n	na	y	n	n	n	n	na
A1	13	Il dipinto non è del tutto leggibile, non è chiaro cosa tenga in mano il santo.	n	na	y	n	n	n	n	na
A1	14	La statua ha uno stile scenografico ma classico.	y	n	y	n	n	n	n	na
A1	15	Nello scomparto ci sono un santo vescovo con pianeta, mitra e pastorale, e San Pietro con un libro e una chiave. Il soffitto cassettonato è sorretto da una colonna e sullo sfondo c'è un paesaggio.	y	n	y	n	n	n	n	na
A1	16	San Paolo con una spada e San Giovanni Battista con una croce di canne sono in uno spazio architettonico simmetrico e coerente con il pannello centrale.	y	n	n	n	n	n	n	na
A1	17	Cristo è raffigurato a mezza figura con le mani sul petto.	y	n	y	n	n	n	n	na
A1	18	Il dipinto mostra un santo apostolo a mezzo busto con un libro in mano e una croce astile sotto il braccio. Ha la barba e guarda indietro verso l'alto. I colori sono scuri e soffocati dallo sporco.	y	n	y	n	n	n	n	na
A1	19	Il dipinto mostra San Simone Apostolo a mezzo busto, di tre quarti, con una sega nella mano destra.	y	n	y	n	n	n	n	na
A1	20	Il dipinto mostra San Bartolomeo a mezzo busto, che mostra la pelle scorticata con la mano sinistra.	y	n	y	n	n	n	n	na
A1	21	Al centro della scena c'è Gesù Bambino sdraiato nella mangiatoia, con San Giuseppe e la Madonna in adorazione ai lati. A destra ci sono il bue, l'asino e un pastore. In alto c'è un angioletto con un cartiglio.	y	n	y	n	n	n	n	na
A1	22	Al centro della scena c'è Simeone con il Bambino in braccio e un cesto di colombi davanti. A sinistra ci sono la Madonna inginocchiata e San Giuseppe in piedi. In secondo piano ci sono Sant'Anna e una figura maschile.	n	na	y	n	n	n	n	na
A1	23	La scena mostra Cristo seduto con le mani legate, coperto da un mantello. Due carnefici sono al suo fianco, uno dei quali gli conficca la corona di spine in testa con un bastone.	n	na	y	n	n	n	n	na
A1	24	La scena mostra Cristo crocifisso con Maria e San Giovanni da un lato e la Maddalena inginocchiata che abbraccia la croce.	n	na	y	n	n	n	n	na
A1	25	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato con un angelo.	y	n	n	n	n	n	n	na
A1	26	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato con un leone ai suoi piedi.	y	n	n	n	n	n	n	na
A1	27	Nella parte inferiore del dipinto c'è la croce a terra con Cristo giacente su di essa, vestito solo con un perizoma e con una corona di spine. Due sgherri piantano i chiodi nelle sue mani. Un soldato con elmo e lancia osserva la scena.	y	n	y	n	n	n	n	na
A1	28	Al centro della scena c'è Cristo crocifisso, vestito solo con un perizoma e già morto. Ai lati ci sono i due ladroni crocifissi. In primo piano, a sinistra c'è la Madonna, a destra la Maddalena inginocchiata che bacia i piedi di Cristo e San Giovanni Evangelista in piedi.	y	n	y	n	n	n	n	na
A1	29	La scena mostra il corpo esanime di Cristo giacente sul sepolcro, avvolto nel sudario e pianto dalla Madonna e San Giovanni Evangelista.	y	n	y	n	n	n	n	na
A1	30	Al centro della scena c'è Cristo in piedi con una tunica chiara, che riceve la croce. Due sgherri lo aiutano a issarla sulla spalla sinistra e un'altra figura maschile è di lato.	y	n	y	n	n	n	n	na
A1	31	Al centro della scena c'è Cristo con la croce sulle spalle, che si ferma di fronte a Maria Vergine piangente lungo la salita al Calvario.	y	n	y	n	n	n	n	na
A1	32	Al centro della scena c'è Cristo con la croce sulla spalla. La Veronica si avvicina con un panno con l'impronta del volto di Cristo. La donna è dipinta di profilo con una veste chiara e un velo sul capo. A sinistra ci sono due soldati che incitano Cristo a camminare.	n	na	y	n	n	n	n	na
A1	33	Al centro della scena c'è Cristo con la croce, seguito dagli sgherri. Si rivolge verso sinistra dove ci sono alcune donne.	y	n	n	n	n	n	n	na
A1	34	Nella parte inferiore del dipinto, a destra, c'è Cristo con una corona di spine che cade a terra sotto il peso della croce. I carnefici lo incitano a sollevarsi, uno di loro lo tira per la corda che gli cinge la vita.	y	n	y	n	n	n	n	na
