Annotatore	ID	Claude_Sonnet_simplification_P3	Termini Tecnici (TT)	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)
A1	1	Lattiera bianca con decorazioni. Ha forma rotonda e piede circolare. Il manico è a forma di C schiacciata. Ha un beccuccio che sporge. È decorata con un disegno di uva. Il bordo è verde.	y	n	n	y	n	n	n	na
A1	2	Piccola scultura giapponese. Mostra un granchio e una creatura chiamata kappa. Il kappa è seduto sul granchio. Il granchio tiene la zampa del kappa con la sua chela. Sotto ci sono due piccoli fori.	y	n	n	y	n	n	n	na
A1	3	Statua di un apostolo. Indossa una tunica e un mantello. Ha barba e capelli lunghi. Tiene in mano un libro.	y	n	n	y	n	n	n	na
A1	4	Statua di un profeta. Indossa una tunica larga e un copricapo. Con una mano tiene un foglio arrotolato. Con l'altra mano tiene la tunica.	y	n	n	y	n	n	n	na
A1	5	Statua di un angelo. Tiene dei gigli in una mano. L'altra mano è alzata. Il suo vestito sembra mosso dal vento.	n	na	n	y	y	n	n	na
A1	6	Statua di re David. È seduto. Ha una corona in testa. Tiene in mano un'arpa.	y	n	n	y	y	n	n	na
A1	7	Statua di San Giorgio. Indossa abiti ricchi. Usa una lancia per colpire un drago.	y	n	n	y	n	n	n	na
A1	8	Statua di San Francesco. Ha una mano sul petto. Guarda verso l'alto.	n	na	n	y	y	n	n	na
A1	9	Statua di un santo. Tiene in mano un libro aperto.	n	na	n	y	n	n	n	na
A1	10	Dipinto di un santo. Indossa abiti da vescovo. Sta scrivendo. Potrebbe essere San Giacomo apostolo.	n	na	n	y	y	n	n	na
A1	11	Statua di un santo. In una mano tiene un libro. Nell'altra mano tiene un'alabarda, che è un tipo di arma.	y	y	n	y	n	n	n	na
A1	12	Dipinto di un santo. Sta scrivendo. Guarda verso l'alto.	n	na	n	y	y	n	n	na
A1	13	Dipinto di un santo. Non si vede bene cosa tiene in mano.	n	na	n	y	n	n	n	na
A1	14	Statua con movimento teatrale ma anche con forma classica.	y	n	n	y	n	n	n	na
A1	15	Dipinto con due santi. Un santo vescovo con bastone e cappello speciale. San Pietro con libro e chiave. Dietro si vede un paesaggio.	n	na	n	y	n	n	n	na
A1	16	Dipinto con San Paolo e San Giovanni Battista. San Paolo ha una spada. San Giovanni ha una croce fatta di canne.	n	na	n	y	y	n	n	na
A1	17	Dipinto di Gesù. Si vede solo la parte superiore del corpo. Le mani sono sul petto.	n	na	n	y	y	n	n	na
A1	18	Dipinto di un santo apostolo. Si vede solo la parte superiore del corpo. Ha un libro in mano e una croce sotto il braccio. Ha la barba. Gira la testa e guarda in alto. I colori sono scuri.	n	na	n	y	n	n	n	na
A1	19	Dipinto di San Simone Apostolo. Si vede solo la parte superiore del corpo. Tiene in mano una sega.	n	na	n	y	y	n	n	na
A1	20	Dipinto di San Bartolomeo. Si vede solo la parte superiore del corpo. Con una mano mostra la sua pelle tolta dal corpo.	n	na	n	y	n	n	n	na
A1	21	Dipinto della nascita di Gesù. Gesù Bambino è sdraiato in una mangiatoia. Maria e Giuseppe lo guardano. Ci sono anche un bue, un asino e un pastore. In alto c'è un angioletto con un cartello.	y	n	n	y	y	n	n	na
A1	22	Dipinto di Gesù Bambino al tempio. Un uomo anziano tiene Gesù in braccio. Davanti c'è un cesto con colombe. Maria è in ginocchio e Giuseppe in piedi. Ci sono anche altre persone.	n	na	n	y	n	n	n	na
A1	23	Dipinto di Gesù con la corona di spine. Gesù è seduto con un mantello. Ha le mani legate. Due uomini gli mettono la corona di spine sulla testa usando un bastone.	n	na	n	y	n	n	n	na
A1	24	Dipinto di Gesù sulla croce. Maria e San Giovanni sono vicino. Maria Maddalena abbraccia la croce in ginocchio.	n	na	n	y	y	n	n	na
A1	25	Statua dorata di San Matteo Evangelista. È raffigurato con un angelo, come di solito.	y	n	n	y	y	n	n	na
A1	26	Statua dorata di San Marco Evangelista. È raffigurato con un leone ai suoi piedi, come di solito.	y	n	n	y	y	n	n	na
A1	27	Dipinto di Gesù che viene inchiodato alla croce. Gesù è sdraiato sulla croce a terra. Ha solo un panno intorno ai fianchi. Due uomini gli inchiodano le mani. Un soldato guarda.	n	na	n	y	n	n	n	na
A1	28	Dipinto di Gesù sulla croce. Gesù è morto. Ci sono due ladri crocifissi vicino. Maria, Maria Maddalena e San Giovanni sono ai piedi della croce.	n	na	n	y	y	n	n	na
A1	29	Dipinto di Gesù morto. Il corpo di Gesù è sul sepolcro, avvolto in un lenzuolo. Maria e San Giovanni piangono.	y	n	n	y	n	n	n	na
A1	30	Dipinto di Gesù che riceve la croce. Gesù è in piedi con una tunica chiara. Due uomini lo aiutano a mettere la croce sulla spalla.	y	n	n	y	n	n	n	na
A1	31	Dipinto di Gesù che porta la croce. Gesù si ferma davanti a Maria che piange.	n	na	n	y	n	n	n	na
