Annotatore	ID	Claude_Sonnet_simplification_P1	Termini Tecnici (TT)	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi semplici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)
A1	1	Lattiera bianca con disegno di uva e bordo verde. Ha un manico e un beccuccio.	y	n	n	y	n	n	n	na
A1	2	Piccola scultura di un granchio e una creatura chiamata kappa.	y	n	n	y	n	n	n	na
A1	3	Statua di un uomo con barba e capelli lunghi. Indossa una tunica e tiene un libro.	y	n	n	y	n	n	n	na
A1	4	Statua di un uomo con tunica e cappello. Tiene un foglio e la sua veste.	y	na	n	y	n	n	n	na
A1	5	Statua di un angelo con fiori. Il suo vestito sembra mosso dal vento.	n	na	n	y	y	n	n	na
A1	6	Statua di David seduto. Ha una corona e suona l'arpa.	y	n	n	y	y	n	n	na
A1	7	Statua di San Giorgio che uccide un drago con una lancia.	y	n	n	y	n	n	n	na
A1	8	Statua di San Francesco che guarda in alto.	n	na	n	y	n	n	n	na
A1	9	Statua di un santo che tiene un libro aperto.	n	na	n	y	n	n	n	na
A1	10	Dipinto di un santo che scrive. Potrebbe essere San Giacomo.	n	na	n	y	y	n	n	na
A1	11	Statua di un santo con un libro e un'arma lunga.	n	na	n	y	n	n	n	na
A1	12	Dipinto di un santo che scrive e guarda in alto.	n	na	n	y	n	n	n	na
A1	13	Dipinto poco chiaro di un santo.	n	na	n	y	y	n	n	na
A1	14	Statua con pose teatrali ma in stile classico.	y	n	n	y	n	n	n	na
A1	15	Dipinto di due santi in una stanza con colonne e paesaggio.	n	na	n	y	n	n	n	na
A1	16	Dipinto di San Paolo e San Giovanni Battista in una stanza.	n	na	n	y	n	n	n	na
A1	17	Dipinto di Gesù a mezzo busto con le mani sul petto.	y	n	n	y	n	n	n	na
A1	18	Dipinto di un santo con barba, libro e croce. Guarda in alto.	n	na	n	y	n	n	n	na
A1	19	Dipinto di San Simone che tiene una sega.	n	na	n	y	n	n	n	na
A1	20	Dipinto di San Bartolomeo che mostra la sua pelle.	n	na	n	y	n	n	n	na
A1	21	Dipinto della nascita di Gesù con Maria, Giuseppe e pastori.	n	na	n	y	n	n	n	na
A1	22	Dipinto di Gesù bambino presentato al tempio.	n	na	n	y	n	n	n	na
A1	23	Dipinto di Gesù con la corona di spine.	n	na	n	y	n	n	n	na
A1	24	Dipinto di Gesù sulla croce con Maria, Giovanni e Maddalena.	n	na	n	y	n	n	n	na
A1	25	Statua dorata di un evangelista con un angelo.	y	n	n	y	n	n	n	na
A1	26	Statua dorata di un evangelista con un leone.	y	n	n	y	n	n	n	na
A1	27	Dipinto di Gesù disteso sulla croce mentre gli inchiodano le mani.	n	na	n	y	n	n	n	na
A1	28	Dipinto di Gesù crocifisso con Maria, Giovanni e Maddalena.	n	na	n	y	n	n	n	na
A1	29	Dipinto di Gesù morto pianto da Maria e Giovanni.	n	na	n	y	n	n	n	na
A1	30	Dipinto di Gesù che riceve la croce.	n	na	n	y	n	n	n	na
A1	31	Dipinto di Gesù che incontra Maria mentre porta la croce.	n	na	n	y	n	n	n	na
A1	32	Dipinto di Gesù che incontra Veronica mentre porta la croce.	n	na	n	y	n	n	n	na
A1	33	Dipinto di Gesù che parla con delle donne mentre porta la croce.	n	na	n	y	n	n	n	na
A1	34	Dipinto di Gesù che cade sotto il peso della croce.	n	na	n	y	n	n	n	na
A1	35	Affresco della circoncisione di Gesù nel tempio.	y	n	n	y	y	n	n	na
A1	36	Affresco di Maria seduta con Gesù bambino.	y	n	n	y	n	n	n	na
A1	37	Affresco di due profeti con scritte.	y	n	n	y	n	n	n	na
A1	38	Affresco della resurrezione di Gesù.	y	n	n	y	y	n	n	na
A1	39	Affresco di Gesù che incontra Maria Maddalena.	y	n	n	y	n	n	n	na
A1	40	Affresco dell'ascensione di Gesù.	y	n	n	y	y	n	n	na
A1	41	Dipinto di un uomo di profilo con un foglio. Si chiama Daniele.	n	na	n	y	n	n	n	na
A1	42	Dipinto di Gioacchino che lascia il tempio. C'è anche un pastore con un agnello.	n	na	n	y	n	n	n	na
A1	43	Dipinto di un uomo con barba lunga e un foglio. Non si sa il suo nome.	n	na	n	y	n	n	n	na
A1	44	Dipinto di un uomo barbuto con un foglio. Si chiama Mosè.	n	na	n	y	n	n	n	na
A1	45	Dipinto di Gioacchino e Anna che si abbracciano. C'è anche un'altra donna.	n	na	n	y	n	n	n	na
A1	46	Dipinto della nascita di Maria. Anna è a letto e altre donne si prendono cura della bambina.	n	na	n	y	n	n	n	na
A1	47	Dipinto dell'angelo che annuncia a Maria che avrà un bambino.	n	na	n	y	n	n	n	na
A1	48	Dipinto del matrimonio di Maria e Giuseppe.	n	na	n	y	y	n	n	na
A1	49	Dipinto di Maria in cielo con gli apostoli e angeli che suonano.	y	n	n	y	n	n	n	na
A1	50	Dipinto di due angeli che tengono un contenitore speciale.	n	na	n	y	n	n	n	na
A1	51	Dipinto di San Giovanni giovane con un libro.	n	na	n	y	n	n	n	na
A1	52	Dipinto di San Matteo più vecchio con un libro.	n	na	n	y	n	n	n	na
A1	53	Dipinto di Gesù che cade mentre porta la croce.	n	na	n	y	n	n	n	na
A1	54	Dipinto degli apostoli che guardano Gesù salire in cielo.	y	n	n	y	n	n	n	na
A1	55	Dipinto di Maria incoronata da Gesù e Dio.	n	na	n	y	n	n	n	na
