original_object	original_description	gpt_simplification
lattiera	Lattiera con corpo globulare; piede circolare; manico a "C" schiacciato; ; beccuccio sporgente; fondo bianco decorato con grappolo d'uva; bordo rifinito in verde.	La lattiera ha un corpo rotondo, un piede circolare e un manico a forma di 'C'. Ha un beccuccio sporgente. Il fondo è bianco con un grappolo d'uva decorato e il bordo è rifinito in verde.
Kappa su granchio, CREATURA FANTASTICA e ANIMALE (scultura)	Questo netsuke raffigura un granchio (kani) sul quale sta posato un kappa, la cui zampa anteriore sinistra è trattenuta dalla chela destra del mollusco. I due fori dell'himotoshi sono ubicati sul lato inferiore della composizione.	Questo netsuke mostra un granchio con un kappa sopra di esso. La zampa anteriore sinistra del kappa è trattenuta dalla chela destra del granchio. I due fori dell'himotoshi sono sul lato inferiore.
statua (elemento d'insieme)	L'apostolo è rappresentato con una tunica legata a vita ed un mantello chiuso con una fibia sulla spalla destra; il volto è incorniciato da una folta barba a torciglioni e lunghi capelli; in mano tiene un libro	L'apostolo è rappresentato con una tunica legata in vita e un mantello chiuso con una fibbia sulla spalla destra. Ha una folta barba e lunghi capelli. In mano tiene un libro.
statua (elemento d'insieme)	Il profeta è rappresentato con ampia tunica, capelli lunghi e copricapo; con la mano destra poggiata sul petto tiene un cartiglio, mentre con la sinistra regge un lembo della tunica	Il profeta è rappresentato con una tunica ampia, capelli lunghi e un copricapo. Con la mano destra tiene un cartiglio sul petto e con la sinistra regge un lembo della tunica.
dipinto (elemento d'insieme)	L'arcangelo è raffigurato con i gigli nella destra, la sinistra levata e l'abito ancora gonfiato dal vento	L'arcangelo è raffigurato con gigli nella mano destra e la mano sinistra sollevata. Il suo abito è gonfiato dal vento.
statua (elemento d'insieme)	David è raffigurato seduto sul frontone con l'arpa in mano e la corona sul capo	David è raffigurato seduto con un'arpa in mano e una corona sul capo.
scomparto di polittico (elemento d'insieme)	San Giorgio, riccamente abbigliato, trafigge il drago con la lancia	San Giorgio, riccamente vestito, trafigge il drago con una lancia.
statua (elemento d'insieme)	San Francesco d'Assisi è raffigurato con la destra al petto e lo sguardo volto verso l'alto	San Francesco d'Assisi è raffigurato con la mano destra sul petto e lo sguardo rivolto verso l'alto.
dipinto (elemento d'insieme)	Il santo è caratterizzato da un libro aperto	Il santo è rappresentato con un libro aperto.
dipinto (elemento d'insieme)	Il santo è dipinto mente scrive, con l'abito vescovile. La schedatrice identifica il santo con Sant'Agostino, ma sembra più probabile che sia San Giacomo apostolo, visto il tema della serie	Il santo è dipinto mentre scrive, indossando abiti vescovili. Potrebbe essere Sant'Agostino o San Giacomo apostolo.
dipinto (elemento d'insieme)	Il santo regge il libro nella sinistra e l'alabarda nella destra	Il santo tiene un libro nella mano sinistra e un'alabarda nella mano destra.
dipinto (elemento d'insieme)	Il santo è raffigurato mentre scrive e ha lo sguardo volto verso l'alto	Il santo è raffigurato mentre scrive e guarda verso l'alto.
dipinto (elemento d'insieme)	Il dipinto non è del tutto leggibile, non è chiaro cosa regga in mano il santo	Il dipinto non è del tutto leggibile, non è chiaro cosa tenga in mano il santo.
statua (elemento d'insieme)	La statua mostra un linguaggio scenografico seppure contenuto in uno schema classico	La statua ha uno stile scenografico ma classico.
