original_object	original_description	gpt_simplification
lattiera	Lattiera con corpo globulare; piede circolare; manico a "C" schiacciato; ; beccuccio sporgente; fondo bianco decorato con grappolo d'uva; bordo rifinito in verde.	Lattiera con corpo rotondo, piede rotondo e manico a "C". Beccuccio sporgente. Fondo bianco con grappolo d'uva. Bordo verde.
Kappa su granchio, CREATURA FANTASTICA e ANIMALE (scultura)	Questo netsuke raffigura un granchio (kani) sul quale sta posato un kappa, la cui zampa anteriore sinistra è trattenuta dalla chela destra del mollusco. I due fori dell'himotoshi sono ubicati sul lato inferiore della composizione.	Netsuke con un granchio e un kappa. Il kappa è trattenuto dal granchio. Due fori sul lato inferiore.
statua (elemento d'insieme)	L'apostolo è rappresentato con una tunica legata a vita ed un mantello chiuso con una fibia sulla spalla destra; il volto è incorniciato da una folta barba a torciglioni e lunghi capelli; in mano tiene un libro	L'apostolo ha una tunica e un mantello. Ha barba folta e lunghi capelli. Tiene un libro in mano.
statua (elemento d'insieme)	Il profeta è rappresentato con ampia tunica, capelli lunghi e copricapo; con la mano destra poggiata sul petto tiene un cartiglio, mentre con la sinistra regge un lembo della tunica	Il profeta ha una tunica, capelli lunghi e un copricapo. Tiene un cartiglio con la mano destra e la tunica con la sinistra.
dipinto (elemento d'insieme)	L'arcangelo è raffigurato con i gigli nella destra, la sinistra levata e l'abito ancora gonfiato dal vento	L'arcangelo tiene gigli con la mano destra e alza la sinistra. Il suo abito è gonfiato dal vento.
statua (elemento d'insieme)	David è raffigurato seduto sul frontone con l'arpa in mano e la corona sul capo	David è seduto con un'arpa e una corona.
scomparto di polittico (elemento d'insieme)	San Giorgio, riccamente abbigliato, trafigge il drago con la lancia	San Giorgio trafigge il drago con una lancia.
statua (elemento d'insieme)	San Francesco d'Assisi è raffigurato con la destra al petto e lo sguardo volto verso l'alto	San Francesco d'Assisi ha la mano destra sul petto e guarda in alto.
dipinto (elemento d'insieme)	Il santo è caratterizzato da un libro aperto	Il santo tiene un libro aperto.
dipinto (elemento d'insieme)	Il santo è dipinto mente scrive, con l'abito vescovile. La schedatrice identifica il santo con Sant'Agostino, ma sembra più probabile che sia San Giacomo apostolo, visto il tema della serie	Il santo è dipinto mentre scrive e indossa abiti vescovili. Potrebbe essere Sant'Agostino o San Giacomo apostolo.
dipinto (elemento d'insieme)	Il santo regge il libro nella sinistra e l'alabarda nella destra	Il santo tiene un libro con la sinistra e un'alabarda con la destra.
dipinto (elemento d'insieme)	Il santo è raffigurato mentre scrive e ha lo sguardo volto verso l'alto	Il santo è raffigurato mentre scrive e guarda in alto.
dipinto (elemento d'insieme)	Il dipinto non è del tutto leggibile, non è chiaro cosa regga in mano il santo	Il dipinto è poco leggibile, non si capisce cosa tiene il santo in mano.
statua (elemento d'insieme)	La statua mostra un linguaggio scenografico seppure contenuto in uno schema classico	La statua è scenografica ma classica.
scomparto di polittico (elemento d'insieme)	Nello scomparto sono raffigurati un santo vescovo, con pianeta, mitra e pastorale, e San Pietro, con il libro e la chiave; il soffitto cassettonato, sorretto da una colonna, è coerente, dal punto di vista della prospettiva, con il pannello centrale. Sullo sfondo è un paesaggio	Un santo vescovo con pianeta, mitra e pastorale e San Pietro con libro e chiave. Soffitto con cassettoni e colonna. Sfondo con paesaggio.
scomparto di polittico (elemento d'insieme)	San Paolo, con la spada, e San Giovanni Battista con la croce di canne, sono in uno spazio architettonico simmetrico rispetto al pannello precedente, e coerente prospetticamente con lo scomparto centrale	San Paolo con una spada e San Giovanni Battista con una croce di canne. Spazio architettonico simmetrico.
scomparto di polittico (elemento d'insieme)	Il Cristo è raffigurato a mezza figura, con le mani sul petto	Cristo a mezza figura con le mani sul petto.
dipinto	Il dipinto raffigura un santo apostolo, a mezzo busto, con un libro in mano e tenente sotto il braccio una croce astile. La figura è barbuta e torce il collo, voltandosi all'indietro e rivolgendo lo sguardo verso l'alto. I colori sono mantenuti in tonalità piuttosto basse e soffocati dallo sporco	Santo apostolo a mezzo busto con un libro e una croce. Ha barba e guarda in alto. Colori spenti.
dipinto	Il dipinto raffigura San Simone Apostolo, a mezzo busto, di tre quarti, reggente con la mano destra la sega, attributo che lo identifica	San Simone Apostolo a mezzo busto con una sega.
dipinto	Il dipinto raffigura San Bartolomeo, a mezzo busto, il quale con la mano sinistra mostra la pelle scorticata	San Bartolomeo a mezzo busto mostra la sua pelle scorticata.
dipinto	Al centro della scena è raffigurato Gesù Bambino sdraiato nella magiatoia, con ai lati S. Giuseppe e la Madonna in adorazione. Sulla destra vi sono il bue, l'asino e la figura del pastore. In alto c'è un angioletto che innalza un cartiglio	Gesù Bambino nella mangiatoia con Giuseppe e Maria. Bue, asino e pastore a destra. Angioletto in alto.
dipinto	Al centro della scena è raffigurato Simeone col Bambino in braccio, davanti al quale in primo piano è raffigurato un cesto di colombi. Sulla sinistra ci sono la Madonna, inginocchiata, e S. Giuseppe in piedi. Sullo stesso lato in secondo piano si affaccia S. Anna ed una figura maschile	Simeone con il Bambino in braccio, un cesto di colombi davanti. Madonna inginocchiata e Giuseppe in piedi a sinistra. Anna e un uomo sullo sfondo.
dipinto	La scena raffigura Cristo seduto, coperto da un mantello, con le mani legate, mentre gli stanno al fianco due carnefi, di cui uno gli conficca la corona di spine in capo tramite un bastone	Cristo seduto con le mani legate e due uomini lo incoronano di spine.
dipinto	La scena raffigura Cristo crocifisso con con Maria e S. Giovanni da un lato e la Maddalena inginocchiata che abbraccia la croce	Cristo crocifisso con Maria, Giovanni e Maddalena inginocchiata alla croce.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con l'angelo	Legno scolpito e dorato davanti, cavo dietro. Evangelista con angelo.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con il leone ai suoi piedi	Legno scolpito e dorato davanti, cavo dietro. Evangelista con leone.
dipinto	Nella parte inferiore del dipinto, diagonalmente, è dipinta la croce, a terra, con Cristo giacente su di essa, vestito del solo perizoma, con il capo cinto dalla corona di spine. Due sgherri, stanno piantando i chiodi nei palmi delle sue mani. Un soldato, con elmo, lorica e lancia in mano, osserva la scena	Croce a terra con Cristo giacente e due uomini piantano chiodi nelle sue mani. Soldato osserva.
dipinto	Al centro della scena è raffigurato Cristo crocifisso vestito del solo perizoma e già morto. Ai lati in secondo piano i due ladroni crocifissi; mentre in primo piano ai lati della croce, ci sono: a sinistra la Madonna, a destra la Maddalena inginocchiata a baciare i piedi del Cristo e San Giovanni Evangelista in piedi	Cristo crocifisso con perizoma, morto. Due ladroni crocifissi ai lati. Maria, Maddalena e Giovanni sotto la croce.
dipinto	La scena raffigura il corpo esanime di Cristo, giacente sul sepolcro, avvolto dal sudario e pianto dalla Madonna e San Giovanni Evangelista	Cristo morto sul sepolcro con sudario, pianto da Maria e Giovanni.
dipinto	Al centro della scena è rappresentato il Cristo, in piedi, con la tunica chiara, che rivece la croce, con due sgherri che lo aiutano ad issarla sulla spalla sinistra ed un'altra figura maschile di lato	Cristo in piedi con tunica chiara, riceve la croce. Due uomini lo aiutano.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulle spalle, che lungo la salita al Calvario, si ferma di fronte a Maria Vergine piangente	Cristo con la croce sulle spalle, si ferma davanti a Maria piangente.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla destra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si è asciugato il volto e sul quale è rimasta la sua impronta. La donna è dipinta di profilo, indossa una veste chiara e il velo sul capo. Sulla sinistra ci sono due soldati che incitano Cristo a camminare	Cristo con la croce, Veronica con panno con l'impronta del volto di Cristo. Due soldati incitano Cristo.
dipinto	Al centro della scena è raffigurato Cristo, con dietro gli sgherri, che sorregge la croce e si rivolge verso sinistra dove sono raffigurate alcune donne	Cristo con croce e due uomini dietro. Si rivolge verso alcune donne.
dipinto	Nella parte inferiore del dipinto, a destra, è rappresentato il Cristo col capo cinto dalla corona di spine, che cade a terra, sotto il peso della croce. I carnefici incitano il Cristo a sollevarsi; uno di questi, di spalle, tirandolo per la corda che gli cinge la vita	Cristo cade sotto la croce, incitato dai carnefici. Uno lo tira per la corda.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena, incorniciata da un'arcata a tutto sesto, Maria con in braccio il Bambino mentre lo avvicina al sacerdote che gli opera la circoncisione. Ai lati, ci sono due figure maschili, di cui una sulla destra con un libro in mano ed una sulla sinistra, accompagnata da una figura femminile (S. Giuseppe e S. Anna) con due colombi in mano. Sullo sfondo la facciata del tempio	Maria con Bambino davanti al sacerdote per la circoncisione. Due uomini ai lati, uno con libro e uno con due colombi. S. Giuseppe e S. Anna.
