Annotatore	ID	ChatGPT_simplification_P1	Termini Tecnici (TT)	SeA2lificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)
A1	1	Lattiera con corpo rotondo, piede rotondo e manico a "C". Beccuccio sporgente. Fondo bianco con grappolo d'uva. Bordo verde.	y	n	n	y	n	n	n	na
A1	2	Netsuke con un granchio e un kappa. Il kappa è trattenuto dal granchio. Due fori sul lato inferiore.	y	n	n	y	n	n	n	na
A1	3	L'apostolo ha una tunica e un mantello. Ha barba folta e lunghi capelli. Tiene un libro in mano.	y	n	n	n	n	n	n	na
A1	4	Il profeta ha una tunica, capelli lunghi e un copricapo. Tiene un cartiglio con la mano destra e la tunica con la sinistra.	y	n	n	n	n	n	n	na
A1	5	L'arcangelo tiene gigli con la mano destra e alza la sinistra. Il suo abito è gonfiato dal vento.	y	n	y	n	n	n	n	na
A1	6	David è seduto con un'arpa e una corona.	y	n	y	n	n	n	n	na
A1	7	San Giorgio trafigge il drago con una lancia.	y	n	y	n	y	n	n	na
A1	8	San Francesco d'Assisi ha la mano destra sul petto e guarda in alto.	n	na	y	n	n	n	n	na
A1	9	Il santo tiene un libro aperto.	n	na	y	n	y	n	n	na
A1	10	Il santo è dipinto mentre scrive e indossa abiti vescovili. Potrebbe essere Sant'Agostino o San Giacomo apostolo.	y	n	n	n	n	n	n	na
A1	11	Il santo tiene un libro con la sinistra e un'alabarda con la destra.	y	n	y	n	n	n	n	na
A1	12	Il santo è raffigurato mentre scrive e guarda in alto.	n	na	y	n	n	n	n	na
A1	13	Il dipinto è poco leggibile, non si capisce cosa tiene il santo in mano.	n	na	y	n	y	n	n	na
A1	14	La statua è scenografica ma classica.	y	n	y	n	y	n	n	na
A1	15	Un santo vescovo con pianeta, mitra e pastorale e San Pietro con libro e chiave. Soffitto con cassettoni e colonna. Sfondo con paesaggio.	y	n	n	y	n	n	n	na
A1	16	San Paolo con una spada e San Giovanni Battista con una croce di canne. Spazio architettonico simmetrico.	y	n	n	y	n	n	n	na
A1	17	Cristo a mezza figura con le mani sul petto.	y	n	n	y	n	n	n	na
A1	18	Santo apostolo a mezzo busto con un libro e una croce. Ha barba e guarda in alto. Colori spenti.	y	n	n	y	n	n	n	na
A1	19	San Simone Apostolo a mezzo busto con una sega.	y	n	n	y	n	n	n	na
A1	20	San Bartolomeo a mezzo busto mostra la sua pelle scorticata.	y	n	y	n	n	n	n	na
A1	21	Gesù Bambino nella mangiatoia con Giuseppe e Maria. Bue, asino e pastore a destra. Angioletto in alto.	y	n	n	y	n	n	n	na
A1	22	Simeone con il Bambino in braccio, un cesto di colombi davanti. Madonna inginocchiata e Giuseppe in piedi a sinistra. Anna e un uomo sullo sfondo.	n	na	n	y	n	n	n	na
A1	23	Cristo seduto con le mani legate e due uomini lo incoronano di spine.	n	na	n	y	n	n	n	na
A1	24	Cristo crocifisso con Maria, Giovanni e Maddalena inginocchiata alla croce.	n	na	n	y	n	n	n	na
A1	25	Legno scolpito e dorato davanti, cavo dietro. Evangelista con angelo.	y	n	n	y	n	n	n	na
A1	26	Legno scolpito e dorato davanti, cavo dietro. Evangelista con leone.	y	n	n	y	n	n	n	na
A1	27	Croce a terra con Cristo giacente e due uomini piantano chiodi nelle sue mani. Soldato osserva.	n	na	n	y	n	n	n	na
A1	28	Cristo crocifisso con perizoma, morto. Due ladroni crocifissi ai lati. Maria, Maddalena e Giovanni sotto la croce.	y	n	n	y	n	n	n	na
A1	29	Cristo morto sul sepolcro con sudario, pianto da Maria e Giovanni.	y	n	n	y	n	n	n	na
A1	30	Cristo in piedi con tunica chiara, riceve la croce. Due uomini lo aiutano.	y	n	n	y	n	n	n	na
A1	31	Cristo con la croce sulle spalle, si ferma davanti a Maria piangente.	n	na	n	y	n	n	n	na
A1	32	Cristo con la croce, Veronica con panno con l'iA2ronta del volto di Cristo. Due soldati incitano Cristo.	n	na	n	y	n	n	n	na
A1	33	Cristo con croce e due uomini dietro. Si rivolge verso alcune donne.	n	na	n	y	n	n	n	na
A1	34	Cristo cade sotto la croce, incitato dai carnefici. Uno lo tira per la corda.	n	na	n	y	n	n	n	na
A1	35	Maria con Bambino davanti al sacerdote per la circoncisione. Due uomini ai lati, uno con libro e uno con due colombi. S. Giuseppe e S. Anna.	y	n	n	y	n	n	n	na
A1	36	Madonna su trono con Gesù Bambino benedicente. Madonna tiene un libro.	n	na	n	y	n	n	n	na
A1	37	Due busti di profeti con cartiglio.	y	n	n	y	n	n	n	na
A1	38	Cristo risorge dal sepolcro, benedicente con vessillo. Soldati ai lati, angelo davanti, due Marie con aA2olla.	y	n	n	y	n	n	n	na
A1	39	Maria Maddalena inginocchiata davanti a Cristo con vanga. Apostoli dietro.	y	n	n	y	n	n	n	na
A1	40	Cristo con mani giunte su una nube. Tre angeli a sinistra, uno con cartiglio. Figure	y	n	n	y	n	n	n	na
A1	41	Affresco con busto di uomo di profilo, senza barba, con cartiglio. Scritta sopra: Daniele.	y	n	n	y	n	n	n	na
