Annotatore	ID	Claude_Sonnet_simplification_P2	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)	
A1	1	Questa è una lattiera, un contenitore per il latte. Ha una forma rotonda con un manico a C e un beccuccio per versare. È decorata con un disegno di uva su sfondo bianco e ha il bordo verde.	y	y	n	n	n	n	n	na
A1	2	Questo è un piccolo oggetto decorativo giapponese chiamato netsuke. Mostra un granchio e una creatura mitologica chiamata kappa. Il granchio tiene il kappa con la sua chela.	y	y	n	n	n	n	n	na
A1	3	Questa statua rappresenta un apostolo di Gesù. Indossa una tunica e un mantello. Ha barba e capelli lunghi. Tiene in mano un libro.	y	n	n	n	n	n	n	na
A1	4	Questa statua mostra un profeta. Indossa una tunica larga e ha capelli lunghi. Tiene un rotolo di pergamena e un pezzo della sua tunica.	n	na	n	n	n	n	n	na
A1	5	Questa statua raffigura un arcangelo. Ha dei gigli in una mano e l'altra mano alzata. Il suo vestito sembra mosso dal vento.	y	n	n	n	n	n	n	na
A1	6	Questa è una statua di Re Davide. È seduto e tiene un'arpa. Indossa una corona.	y	n	n	n	n	n	n	na
A1	7	Questa statua mostra San Giorgio che uccide un drago con la sua lancia. Indossa abiti eleganti.	y	n	n	n	n	n	n	na
A1	8	Questa è una statua di San Francesco d'Assisi. Ha una mano sul petto e guarda verso l'alto.	n	na	n	n	n	n	n	na
A1	9	Questa statua rappresenta un santo che tiene un libro aperto.	n	na	y	n	n	n	n	na
A1	10	Questo dipinto mostra un santo che sta scrivendo. Indossa abiti da vescovo.	n	na	n	n	n	n	n	na
A1	11	Questa statua rappresenta un santo che tiene un libro e un'alabarda, un tipo di arma.	y	y	n	n	n	n	n	na
A1	12	Questo dipinto mostra un santo che sta scrivendo e guarda verso l'alto.	n	na	y	n	n	n	n	na
A1	13	Questo dipinto mostra un santo, ma non si vede chiaramente cosa tiene in mano.	n	na	n	n	n	n	n	na
A1	14	Questa statua ha un aspetto teatrale ma mantiene una forma classica.	y	n	n	n	n	n	n	na
A1	15	Questo dipinto mostra due santi: un vescovo con bastone e mitra, e San Pietro con un libro e una chiave. Sullo sfondo c'è un paesaggio.	y	n	y	n	n	n	n	na
A1	16	Questo dipinto mostra San Paolo con una spada e San Giovanni Battista con una croce fatta di canne.	n	na	y	n	n	n	n	na
A1	17	Questo dipinto mostra Gesù dalla vita in su, con le mani sul petto.	n	na	y	n	n	n	n	na
A1	18	Questo dipinto mostra un apostolo con un libro e una croce. Ha la barba e guarda verso l'alto.	n	na	n	n	n	n	n	na
A1	19	Questo dipinto mostra San Simone Apostolo che tiene una sega, il suo simbolo.	n	na	y	n	n	n	n	na
A1	20	Questo dipinto mostra San Bartolomeo che tiene la sua pelle, perché secondo la tradizione fu scorticato.	n	na	y	n	n	n	n	na
A1	21	Questo dipinto mostra la nascita di Gesù. C'è Gesù Bambino nella mangiatoia, Maria e Giuseppe, un bue, un asino, un pastore e un angelo.	y	n	y	n	n	n	n	na
A1	22	Questo dipinto mostra Gesù Bambino presentato al tempio. C'è Simeone che tiene Gesù, Maria, Giuseppe, Sant'Anna e delle colombe.	n	na	y	n	n	n	n	na
A1	23	Questo dipinto mostra Gesù con la corona di spine. Due uomini gli stanno mettendo la corona sulla testa.	n	na	y	n	n	n	n	na
A1	24	Questo dipinto mostra Gesù sulla croce con Maria, San Giovanni e Maria Maddalena.	n	na	y	n	n	n	n	na
A1	25	Questa è una statua di un evangelista (chi ha scritto il Vangelo) con un angelo.	y	y	y	n	n	n	n	na
A1	26	Questa è una statua di un evangelista con un leone ai suoi piedi.	y	n	y	n	n	n	n	na
A1	27	Questo dipinto mostra Gesù disteso sulla croce. Due uomini gli stanno inchiodando le mani e un soldato guarda.	n	na	y	n	n	n	n	na
A1	28	Questo dipinto mostra Gesù crocifisso con Maria, Maria Maddalena e San Giovanni.	n	na	y	n	n	n	n	na
A1	29	Questo dipinto mostra Gesù morto, avvolto in un lenzuolo. Maria e San Giovanni piangono accanto a lui. Il corpo di Gesù è disteso su una pietra che rappresenta il sepolcro.	y	n	y	n	n	n	n	na
A1	30	Questo dipinto mostra Gesù che riceve la croce. Due uomini lo aiutano a metterla sulla spalla.	n	na	y	n	n	n	n	na
A1	31	Questo dipinto mostra Gesù che porta la croce e si ferma davanti a Maria che piange.	n	na	y	n	n	n	n	na
A1	32	Questo dipinto mostra Gesù con la croce sulla spalla. La Veronica gli asciuga il viso con un panno. Ci sono anche dei soldati.	n	na	y	n	n	n	n	na
A1	33	Questo dipinto mostra Gesù che porta la croce e parla con alcune donne.	n	na	y	n	n	n	n	na
A1	34	Questo dipinto mostra Gesù che cade sotto il peso della croce. Alcuni uomini cercano di farlo alzare.	n	na	y	n	n	n	n	na
A1	35	Questo affresco mostra Maria che tiene Gesù Bambino mentre un sacerdote fa la circoncisione. Ci sono anche altre persone, tra cui Giuseppe e Sant'Anna.	y	n	y	n	n	n	n	na
A1	36	Questo affresco mostra Maria seduta su un trono con Gesù Bambino sulle ginocchia. Gesù benedice e ha una croce al collo. Maria tiene un libro.	n	na	n	n	n	n	n	na
A1	37	Questo affresco mostra due profeti della Bibbia. Ognuno tiene un rotolo di pergamena.	y	n	y	n	y	n	n	na
A1	38	Questo affresco mostra Gesù che risorge. Si alza dalla tomba con una bandiera in mano. Ci sono soldati e un angelo. Le donne arrivano con l'olio.	y	n	y	n	n	n	n	na
A1	39	Questo affresco mostra Maria Maddalena che si inginocchia davanti a Gesù. Gesù ha una vanga in mano. Ci sono anche alcuni apostoli.	y	n	y	n	n	n	n	na
A1	40	Questo affresco mostra Gesù che sale al cielo. È circondato da una nuvola. Ci sono angeli e persone inginocchiate che guardano.	y	n	y	n	n	n	n	na
A1	41	Questo affresco mostra il viso di un uomo di profilo. Non ha la barba e tiene un rotolo di carta. Sopra c'è scritto il nome Daniele.	n	na	y	n	n	n	n	na
A1	42	Questo affresco mostra Gioacchino che viene mandato via dal tempio. C'è anche un pastore con un agnello in braccio.	y	n	y	n	n	n	n	na
A1	43	Questo affresco mostra il viso di un uomo di profilo. Ha una lunga barba e tiene un rotolo di carta. Non si può leggere il suo nome.	y	n	y	n	n	n	n	na
A1	44	Questo affresco mostra il viso di un uomo con la barba. Tiene un rotolo di carta. Sopra c'è scritto il nome Mosè.	y	n	y	n	n	n	n	na
A1	45	Questo affresco mostra Gioacchino e Anna che si abbracciano. C'è anche un'altra donna più piccola.	y	n	y	n	n	n	n	na
A1	46	Questo affresco mostra la nascita di Maria. Anna è seduta sul letto. Ci sono donne che preparano il bagno per Maria e una che porta del cibo.	y	n	y	n	n	n	n	na
A1	47	Questo affresco mostra l'angelo Gabriele che parla a Maria. C'è un vaso di fiori e Dio in alto. Maria è inginocchiata davanti a un libro.	y	n	y	n	n	n	n	na
A1	48	Questo affresco mostra un sacerdote che unisce le mani di Giuseppe e Maria. Ci sono altre persone che guardano, inclusa Anna.	n	na	y	n	n	n	n	na
A1	49	Questo affresco mostra Maria in cielo con gli Apostoli. Sotto ci sono angeli che suonano.	y	n	y	n	n	n	n	na
A1	50	Questa immagine mostra due angeli inginocchiati che tengono un contenitore speciale per l'ostia.	y	n	y	n	n	n	n	na
A1	51	Questo dipinto mostra San Giovanni, che è giovane e tiene un libro.	n	na	y	n	n	n	n	na
A1	52	Questo dipinto mostra San Matteo, che è più vecchio di San Giovanni e tiene un libro.	n	na	y	n	n	n	n	na
A1	53	Questo dipinto mostra Gesù che cade mentre porta la croce. Ci sono molte persone intorno e si vedono le mura di Gerusalemme.	n	na	y	n	n	n	n	na
A1	54	Questo dipinto mostra gli apostoli che guardano in alto. Si vedono solo i piedi di Gesù che sale al cielo.	n	na	y	n	n	n	n	na
A1	55	Questo dipinto mostra Maria che viene incoronata da Gesù e Dio Padre.	n	na	y	n	n	n	n	na
A1	56	Questo dipinto mostra Maria ed Elisabetta che si abbracciano. Ci sono anche Zaccaria e Giuseppe, e si vede una città.	n	na	y	n	n	n	n	na
A1	57	Questo dipinto mostra Gesù, Maria e Giuseppe in una capanna. C'è un angelo in alto e forse un altro angelo vicino.	n	na	y	n	n	n	n	na
A1	58	Questo dipinto mostra Gesù a cui vengono messe delle spine sulla testa da due soldati.	n	na	y	n	n	n	n	na
A1	59	Questo dipinto mostra Giovanni Battista in prigione con delle catene. Ci sono tre guardie, un grande cane, e si vede Gesù che parla con due persone in lontananza.	n	na	y	n	n	n	n	na
A1	60	Questo dipinto mostra Giovanni Battista che prega in un bosco con montagne. C'è un agnello ai suoi piedi e due piccoli angeli in alto.	n	na	y	n	n	n	n	na
A1	61	Questa è una porta di tabernacolo con un disegno di un contenitore speciale per l'ostia circondato da raggi e nuvole.	y	n	y	n	n	n	n	na
A1	62	Questa è una tavoletta di legno che mostra l'angelo Gabriele che parla a Maria. Maria è inginocchiata e c'è una colomba in alto.	n	na	y	n	n	n	n	na
A1	63	Questa tavoletta di legno mostra Gesù sulla croce con Maria e Giovanni ai lati. Si vede Gerusalemme in lontananza e nuvole scure in cielo.	n	na	y	n	n	n	n	na
A1	64	Questa tavoletta di legno mostra Gesù che risorge dalla tomba. Ci sono soldati intorno, alcuni dormono e altri sono spaventati.	n	na	y	n	n	n	n	na
A1	65	Questa tavoletta di legno mostra Maria seduta con un libro, circondata dagli apostoli. Tutti guardano in alto verso una colomba.	n	na	y	n	n	n	n	na
A1	66	Questa tavoletta di legno mostra Maria che viene incoronata da Gesù e Dio Padre. C'è una colomba in alto e molte nuvole intorno.	y	n	y	n	n	n	n	na
A1	67	Questa tavoletta di legno mostra Maria, Gesù Bambino in una culla, e tre pastori. Si vedono anche un bue e un asino.	n	na	y	n	n	n	n	na
A1	68	Questa tavoletta di legno mostra Maria che porta Gesù Bambino a un sacerdote in una chiesa. C'è anche Sant'Anna.	n	na	y	n	n	n	n	na
A1	69	Questa tavoletta di legno mostra Gesù legato a una colonna mentre due soldati lo colpiscono. Due sacerdoti guardano.	n	na	y	n	n	n	n	na
A1	70	Questa tavoletta di legno mostra Gesù che prega in un giardino. Gli apostoli dormono vicino a lui.	n	na	y	n	n	n	n	na
A1	71	Questa tavoletta di legno mostra Gesù seduto mentre tre soldati gli mettono una corona di spine. Due sacerdoti guardano.	y	n	y	n	n	n	n	na
A1	72	Questo è un vestito speciale per i sacerdoti. Ha immagini di santi ricamate sopra.	y	n	y	n	n	n	n	na
A1	73	Questo dipinto mostra Gesù seduto su un trono in un tempio, circondato da persone sagge.	n	na	y	n	n	n	n	na
A1	74	Questo dipinto mostra Gesù legato a una colonna mentre tre soldati lo colpiscono.	n	na	y	n	n	n	n	na
A1	75	Questo è un tabernacolo con piccole colonne. La porta mostra l'angelo che parla a Maria.	y	n	y	n	n	n	n	na
A1	76	Sopra il tabernacolo c'è un posto speciale per mostrare l'ostia. Ha un'immagine di Gesù sulla croce e due statue di angeli. In cima c'è una corona.	n	na	y	n	n	n	n	na
A1	77	Questo dipinto mostra San Francesco che benedice dei poveri mentre cammina con un altro monaco.	n	na	y	n	n	n	n	na
A1	78	Questo dipinto mostra la Madonna con Gesù Bambino che appare a Sant'Antonio. Sant'Antonio è inginocchiato davanti a un altare e ci sono altri monaci in lontananza.	n	na	y	n	n	n	n	na
A1	79	Questo dipinto mostra Sant'Antonio che mostra l'ostia a un asino, e l'asino si inginocchia.	y	n	y	n	n	n	n	na
A1	80	Questo dipinto mostra Sant'Antonio che parla ai pesci. Sopra c'è un cartello con delle parole scritte.	n	na	y	n	n	n	n	na
A1	81	Questo dipinto mostra Maria che tiene in braccio Gesù bambino. Gesù è avvolto in un panno chiaro e Maria indossa un lungo mantello.	n	na	y	n	n	n	n	na
A1	82	Questo dipinto mostra Gesù sulla croce. Accanto ci sono Maria, Giovanni, Giuseppe d'Arimatea e Maria Maddalena. C'è anche un soldato a cavallo.	n	na	y	n	y	n	n	na
A1	83	Questo dipinto mostra San Giacomo Maggiore in piedi. Indossa abiti da pellegrino, tiene un bastone e apre il suo mantello rosso.	y	n	y	n	n	n	n	na
A1	84	Questo dipinto mostra un santo in piedi. Ha un grande mantello verde e tiene un libro. Ha pochi capelli e sembra serio.	n	na	y	n	n	n	n	na
A1	85	Questo dipinto mostra Gesù con la corona di spine. Due soldati gli tolgono la tunica, mentre altri guardano.	y	n	y	n	n	n	n	na
A1	86	Questo dipinto mostra Gesù che viene tolto dalla croce. Giovanni e un altro uomo lo prendono, mentre Maria e Maria Maddalena guardano tristi.	n	na	y	n	n	n	n	na
A1	87	Questo dipinto mostra Gesù morto avvolto in un lenzuolo. Viene messo nella tomba mentre Maria, Maria Maddalena e Giovanni piangono.	n	na	y	n	n	n	n	na
A1	88	Questo dipinto mostra Gesù che riceve la croce. Ci sono soldati che lo aiutano e uno a cavallo con una bandiera romana.	n	na	y	n	n	n	n	na
A1	89	Questo dipinto mostra Gesù che cade mentre porta la croce. I soldati cercano di farlo alzare e uno lo tira con una corda.	n	na	y	n	n	n	n	na
A1	90	Questo dipinto mostra Gesù che porta la croce. Simone di Cirene lo aiuta, mentre i soldati lo spingono.	n	na	y	n	n	n	n	na
A1	91	Questo dipinto mostra Gesù che porta la croce. La Veronica gli asciuga il viso con un panno. Ci sono soldati che lo spingono e tirano.	n	na	y	n	n	n	n	na
A1	92	Questo dipinto mostra Gesù caduto sotto il peso della croce. I soldati lo circondano.	n	na	y	n	y	n	n	na
A1	93	Questo dipinto mostra Pilato seduto sul trono con Gesù davanti a lui. Ci sono molti soldati romani intorno.	y	n	y	n	y	n	n	na
A1	94	Questo dipinto mostra Gesù mentre i soldati gli tolgono i vestiti. Ci sono molte persone che guardano.	n	na	y	n	n	n	n	na
A1	95	Questo dipinto mostra Gesù morto sulle ginocchia di Maria. Ci sono persone che lo hanno appena tolto dalla croce e altre che piangono.	n	na	y	n	n	n	n	na
A1	96	Questo dipinto mostra Gesù che incontra sua madre Maria mentre porta la croce. Ci sono soldati e altre donne intorno.	n	na	y	n	n	n	n	na
A1	97	Questo dipinto mostra Gesù caduto a terra con la croce. I soldati cercano di farlo alzare e lo tirano con una corda.	n	na	y	n	n	n	n	na
A1	98	Questo dipinto mostra Gesù morto che viene messo nella tomba. Maria e altre persone guardano tristi.	n	na	y	n	n	n	n	na
A1	99	Questa statua mostra San Domenico in piedi. Indossa un abito bianco e un mantello nero. Tiene un libro in mano.	n	na	n	n	y	n	n	na
A1	100	Questo affresco mostra due santi inginocchiati davanti e due santi in piedi dietro. Uno è un papa e uno è un vescovo.	y	n	n	n	n	n	n	na
